TIME,I_L,J_L,I_R,J_R
0.0,628.5,265.5,605.5,287.5
0.033330293070391676,629.5,265.5,604.5,287.5
0.06666058614078335,628.5,264.5,604.5,286.5
0.09999087921117503,628.5,264.5,603.5,285.5
0.1333211722815667,628.5,264.5,603.5,285.5
0.16665146535195838,629.5,263.5,603.5,284.5
0.19998175842235005,628.5,263.5,602.5,283.5
0.2333120514927417,628.5,263.5,602.5,282.5
0.2666423445631334,629.5,263.5,602.5,282.5
0.29997263763352505,629.5,262.5,602.5,281.5
0.33330293070391676,629.5,262.5,601.5,280.5
0.3666332237743084,629.5,262.5,601.5,280.5
0.3999635168447001,629.5,262.5,601.5,279.5
0.43329380991509175,629.5,261.5,601.5,278.5
0.4666241029854834,629.5,261.5,601.5,278.5
0.4999543960558751,629.5,261.5,601.5,278.5
0.5332846891262668,629.5,261.5,601.5,278.5
0.5666149821966584,629.5,261.5,601.5,278.5
0.5999452752670501,629.5,261.5,601.5,278.5
0.6332755683374418,629.5,261.5,601.5,278.5
0.6666058614078335,629.5,261.5,600.5,278.5
0.6999361544782251,628.5,261.5,600.5,278.5
0.7332664475486168,628.5,260.5,600.5,278.5
0.7665967406190085,628.5,260.5,600.5,277.5
0.7999270336894002,628.5,260.5,600.5,277.5
0.8332573267597918,627.5,259.5,600.5,277.5
0.8665876198301835,627.5,259.5,600.5,277.5
0.8999179129005752,626.5,258.5,600.5,277.5
0.9332482059709668,626.5,258.5,599.5,276.5
0.9665784990413585,625.5,257.5,599.5,276.5
0.9999087921117502,624.5,257.5,598.5,276.5
1.0332390851821418,624.5,256.5,598.5,276.5
1.0665693782525336,623.5,256.5,598.5,276.5
1.0998996713229252,623.5,255.5,597.5,276.5
1.1332299643933168,622.5,254.5,597.5,275.5
1.1665602574637086,621.5,254.5,597.5,275.5
1.1998905505341002,621.5,253.5,596.5,275.5
1.233220843604492,620.5,253.5,596.5,275.5
1.2665511366748836,619.5,252.5,596.5,275.5
1.2998814297452752,618.5,252.5,595.5,275.5
1.333211722815667,617.5,251.5,595.5,274.5
1.3665420158860586,616.5,250.5,595.5,274.5
1.3998723089564502,616.5,249.5,594.5,274.5
1.433202602026842,615.5,249.5,594.5,274.5
1.4665328950972336,614.5,248.5,593.5,274.5
1.4998631881676252,613.5,248.5,593.5,274.5
1.533193481238017,612.5,248.5,593.5,274.5
1.5665237743084086,611.5,247.5,593.5,274.5
1.5998540673788004,611.5,247.5,593.5,274.5
1.633184360449192,611.5,247.5,592.5,274.5
1.6665146535195836,611.5,247.5,592.5,274.5
1.6998449465899754,611.5,247.5,592.5,274.5
1.733175239660367,611.5,247.5,592.5,273.5
1.7665055327307586,611.5,247.5,592.5,273.5
1.7998358258011504,611.5,247.5,592.5,273.5
1.833166118871542,611.5,246.5,592.5,273.5
1.8664964119419336,611.5,246.5,592.5,273.5
1.8998267050123254,611.5,246.5,592.5,273.5
1.933156998082717,610.5,246.5,591.5,272.5
1.9664872911531088,610.5,246.5,591.5,272.5
1.9998175842235004,610.5,246.5,591.5,272.5
2.0331478772938922,610.5,246.5,590.5,271.5
2.0664781703642836,610.5,245.5,590.5,271.5
2.0998084634346754,610.5,245.5,590.5,271.5
2.1331387565050672,610.5,245.5,589.5,270.5
2.1664690495754586,610.5,245.5,589.5,270.5
2.1997993426458504,610.5,245.5,589.5,270.5
2.2331296357162422,610.5,244.5,588.5,269.5
2.2664599287866336,610.5,244.5,588.5,268.5
2.2997902218570254,610.5,244.5,588.5,268.5
2.3331205149274172,610.5,243.5,587.5,267.5
2.3664508079978086,610.5,243.5,587.5,267.5
2.3997811010682004,610.5,243.5,587.5,266.5
2.4331113941385922,610.5,242.5,587.5,266.5
2.466441687208984,610.5,242.5,586.5,265.5
2.4997719802793754,610.5,242.5,586.5,264.5
2.5331022733497672,609.5,242.5,585.5,263.5
2.566432566420159,610.5,241.5,585.5,263.5
2.5997628594905504,610.5,241.5,584.5,262.5
2.6330931525609422,610.5,241.5,584.5,261.5
2.666423445631334,610.5,241.5,584.5,261.5
2.6997537387017254,610.5,241.5,584.5,261.5
2.7330840317721172,610.5,241.5,584.5,261.5
