TIME,I_L,J_L,I_R,J_R
0.0,567.5,340.5,592.5,360.5
0.03332902615075139,567.5,340.5,592.5,361.5
0.06665805230150278,566.5,341.5,591.5,361.5
0.09998707845225417,565.5,342.5,591.5,361.5
0.13331610460300555,565.5,343.5,591.5,361.5
0.16664513075375695,565.5,344.5,591.5,362.5
0.19997415690450834,564.5,345.5,591.5,362.5
0.23330318305525974,563.5,346.5,591.5,362.5
0.2666322092060111,563.5,347.5,591.5,362.5
0.2999612353567625,562.5,348.5,591.5,362.5
0.3332902615075139,562.5,349.5,591.5,362.5
0.3666192876582653,561.5,350.5,591.5,363.5
0.3999483138090167,561.5,351.5,591.5,363.5
0.4332773399597681,561.5,352.5,591.5,363.5
0.4666063661105195,561.5,353.5,591.5,363.5
0.4999353922612708,560.5,354.5,591.5,363.5
0.5332644184120222,560.5,355.5,591.5,364.5
0.5665934445627736,560.5,356.5,591.5,364.5
0.599922470713525,560.5,357.5,591.5,364.5
0.6332514968642764,559.5,358.5,591.5,364.5
0.6665805230150278,559.5,359.5,591.5,364.5
0.6999095491657792,559.5,360.5,591.5,365.5
0.7332385753165306,559.5,361.5,591.5,365.5
0.766567601467282,559.5,362.5,591.5,365.5
0.7998966276180334,559.5,363.5,591.5,365.5
0.8332256537687848,559.5,364.5,591.5,365.5
0.8665546799195362,559.5,365.5,591.5,365.5
0.8998837060702876,559.5,366.5,591.5,365.5
0.933212732221039,559.5,367.5,591.5,366.5
0.9665417583717903,559.5,368.5,591.5,366.5
0.9998707845225416,559.5,368.5,591.5,366.5
1.0331998106732931,559.5,368.5,591.5,366.5
1.0665288368240444,559.5,368.5,591.5,366.5
1.099857862974796,559.5,369.5,591.5,366.5
1.1331868891255472,559.5,370.5,591.5,367.5
1.1665159152762987,559.5,371.5,591.5,367.5
1.19984494142705,559.5,371.5,591.5,366.5
1.2331739675778015,559.5,371.5,591.5,367.5
1.2665029937285528,559.5,373.5,591.5,367.5
1.299832019879304,560.5,373.5,591.5,367.5
1.3331610460300556,560.5,374.5,591.5,367.5
1.3664900721808069,560.5,374.5,591.5,367.5
1.3998190983315584,560.5,375.5,591.5,368.5
1.4331481244823097,560.5,376.5,591.5,368.5
1.4664771506330612,560.5,377.5,591.5,368.5
1.4998061767838125,561.5,378.5,591.5,368.5
1.533135202934564,561.5,378.5,591.5,368.5
1.5664642290853152,561.5,379.5,591.5,368.5
1.5997932552360667,561.5,380.5,591.5,368.5
