TIME,I_L,J_L,I_R,J_R,i_a,j_a,r_a
0.0,588.5,340.5,620.5,342.5,691.5,356.5,350.2
0.0333292915448343,588.5,340.5,620.5,342.5,691.5,356.5,350.2
0.0666585830896686,588.5,340.5,620.5,343.5,691.5,356.5,350.2
0.0999878746345029,588.5,340.5,619.5,343.5,691.5,356.5,350.2
0.1333171661793372,588.5,341.5,619.5,343.5,691.5,356.5,350.2
0.1666464577241715,587.5,341.5,619.5,344.5,691.5,356.5,350.2
0.1999757492690058,587.5,341.5,619.5,344.5,691.5,356.5,350.2
0.2333050408138401,587.5,341.5,618.5,345.5,691.5,356.5,350.2
0.2666343323586744,587.5,341.5,618.5,345.5,691.5,356.5,350.2
0.2999636239035088,586.5,342.5,618.5,346.5,691.5,356.5,350.2
0.3332929154483431,586.5,341.5,617.5,346.5,691.5,356.5,350.2
0.3666222069931774,586.5,341.5,617.5,347.5,691.5,356.5,350.2
0.3999514985380117,585.5,342.5,617.5,347.5,691.5,356.5,350.2
0.433280790082846,585.5,342.5,616.5,348.5,691.5,356.5,350.2
0.4666100816276803,585.5,342.5,616.5,348.5,691.5,356.5,350.2
0.4999393731725146,585.5,342.5,616.5,348.5,691.5,356.5,350.2
0.5332686647173489,584.5,342.5,615.5,349.5,691.5,356.5,350.2
0.5665979562621832,584.5,343.5,615.5,350.5,691.5,356.5,350.2
0.5999272478070176,583.5,343.5,615.5,350.5,691.5,356.5,350.2
0.6332565393518519,583.5,343.5,614.5,351.5,691.5,356.5,350.2
0.6665858308966862,583.5,343.5,614.5,351.5,691.5,356.5,350.2
0.6999151224415205,583.5,343.5,613.5,351.5,691.5,356.5,350.2
0.7332444139863548,582.5,344.5,613.5,352.5,691.5,356.5,350.2
0.7665737055311891,582.5,343.5,612.5,353.5,691.5,356.5,350.2
0.7999029970760234,582.5,343.5,612.5,353.5,691.5,356.5,350.2
0.8332322886208577,581.5,343.5,611.5,353.5,691.5,356.5,350.2
0.8665615801656921,581.5,343.5,611.5,354.5,691.5,356.5,350.2
0.8998908717105264,581.5,343.5,611.5,354.5,691.5,356.5,350.2
0.9332201632553606,580.5,343.5,610.5,355.5,691.5,356.5,350.2
0.9665494548001948,580.5,343.5,609.5,355.5,691.5,356.5,350.2
0.9998787463450292,580.5,343.5,609.5,356.5,691.5,356.5,350.2
1.0332080378898636,579.5,343.5,608.5,356.5,691.5,356.5,350.2
1.0665373294346978,579.5,344.5,608.5,356.5,691.5,356.5,350.2
1.0998666209795325,579.5,343.5,608.5,356.5,691.5,356.5,350.2
1.1331959125243665,579.5,343.5,608.5,356.5,691.5,356.5,350.2
1.166525204069201,579.5,343.5,609.5,356.5,691.5,356.5,350.2
1.1998544956140351,579.5,344.5,609.5,356.5,691.5,356.5,350.2
1.2331837871588691,579.5,344.5,608.5,356.5,691.5,356.5,350.2
1.2665130787037038,579.5,344.5,608.5,356.5,691.5,356.5,350.2
1.299842370248538,578.5,345.5,608.5,356.5,691.5,356.5,350.2
1.3331716617933724,578.5,345.5,608.5,356.5,691.5,356.5,350.2
1.3665009533382066,578.5,346.5,608.5,357.5,691.5,356.5,350.2
1.399830244883041,577.5,347.5,607.5,357.5,691.5,356.5,350.2
1.4331595364278753,577.5,347.5,607.5,357.5,691.5,356.5,350.2
1.4664888279727095,576.5,348.5,607.5,357.5,691.5,356.5,350.2
1.499818119517544,576.5,348.5,606.5,357.5,691.5,356.5,350.2
1.5331474110623782,575.5,349.5,606.5,357.5,691.5,356.5,350.2
1.5664767026072126,575.5,350.5,606.5,357.5,691.5,356.5,350.2
1.5998059941520468,575.5,351.5,606.5,357.5,691.5,356.5,350.2
1.633135285696881,575.5,352.5,606.5,358.5,691.5,356.5,350.2
1.6664645772417157,574.5,353.5,606.5,358.5,691.5,356.5,350.2
1.6997938687865497,574.5,354.5,605.5,358.5,691.5,356.5,350.2
1.733123160331384,574.5,355.5,605.5,358.5,691.5,356.5,350.2
1.7664524518762184,574.5,356.5,605.5,358.5,691.5,356.5,350.2
1.7997817434210528,573.5,357.5,605.5,359.5,691.5,356.5,350.2
1.833111034965887,573.5,358.5,605.5,359.5,691.5,356.5,350.2
1.8664403265107208,573.5,358.5,605.5,359.5,691.5,356.5,350.2
1.899769618055556,573.5,360.5,605.5,359.5,691.5,356.5,350.2
1.9330989096003897,573.5,361.5,605.5,359.5,691.5,356.5,350.2
