TIME,INT
0.0333,254.9683
0.0667,31.1088
0.1000,38.8186
0.1333,44.6213
0.1667,40.5351
0.2000,41.8844
0.2333,44.2041
0.2667,45.1451
0.3000,43.9705
0.3333,40.6122
0.3667,42.2653
0.4000,45.5147
0.4333,44.6213
0.4667,42.2132
0.5000,40.0771
0.5333,43.2154
0.5667,44.6825
0.6000,43.1791
0.6333,40.2472
0.6667,40.4172
0.7000,43.7528
0.7333,44.2404
0.7667,41.3197
0.8000,40.2948
0.8333,41.3651
0.8667,43.9819
0.9000,43.1973
0.9333,40.1610
0.9667,40.5782
1.0000,43.1497
1.0333,45.8367
1.0667,44.5941
1.1000,41.5057
1.1333,43.2200
1.1667,45.5283
1.2000,45.2154
1.2333,43.0794
1.2667,40.9637
1.3000,42.7392
1.3333,44.6145
1.3667,43.4014
1.4000,41.3651
1.4333,40.9683
1.4667,43.6531
1.5000,44.6508
1.5333,42.2630
1.5667,40.9184
1.6000,41.9773
1.6333,44.1156
1.6667,43.1723
1.7000,40.4853
1.7333,40.6871
1.7667,42.2086
1.8000,43.2971
1.8333,41.4535
1.8667,39.7415
1.9000,39.9977
1.9333,41.9433
1.9667,41.5556
2.0000,255.0000
2.0333,255.0000
2.0667,255.0000
2.1000,255.0000
2.1333,255.0000
2.1667,255.0000
2.2000,255.0000
2.2333,255.0000
2.2667,255.0000
2.3000,255.0000
2.3333,255.0000
2.3667,255.0000
2.4000,255.0000
2.4333,255.0000
2.4667,255.0000
2.5000,255.0000
2.5333,255.0000
2.5667,255.0000
2.6000,255.0000
2.6333,255.0000
2.6667,255.0000
2.7000,255.0000
2.7333,255.0000
2.7667,255.0000
2.8000,255.0000
2.8333,255.0000
2.8667,255.0000
2.9000,255.0000
2.9333,255.0000
2.9667,255.0000
3.0000,255.0000
3.0333,255.0000
3.0667,255.0000
3.1000,255.0000
3.1333,255.0000
3.1667,255.0000
3.2000,255.0000
3.2333,255.0000
3.2667,255.0000
3.3000,255.0000
3.3333,255.0000
3.3667,255.0000
3.4000,255.0000
3.4333,255.0000
3.4667,255.0000
3.5000,255.0000
3.5333,255.0000
3.5667,255.0000
3.6000,255.0000
3.6333,255.0000
3.6667,255.0000
3.7000,255.0000
3.7333,255.0000
3.7667,255.0000
3.8000,255.0000
3.8333,255.0000
3.8667,255.0000
3.9000,255.0000
3.9333,255.0000
3.9667,255.0000
4.0000,255.0000
4.0333,255.0000
4.0667,255.0000
4.1000,255.0000
4.1333,255.0000
4.1667,255.0000
4.2000,255.0000
4.2333,255.0000
4.2667,255.0000
4.3000,255.0000
4.3333,255.0000
4.3667,255.0000
4.4000,255.0000
4.4333,255.0000
4.4667,255.0000
4.5000,255.0000
4.5333,255.0000
4.5667,255.0000
4.6000,255.0000
4.6333,255.0000
4.6667,255.0000
4.7000,255.0000
4.7333,255.0000
4.7667,255.0000
4.8000,255.0000
4.8333,255.0000
4.8667,255.0000
4.9000,255.0000
4.9333,255.0000
4.9667,44.6803
5.0000,45.7937
5.0333,45.7211
5.0667,45.0000
5.1000,44.8027
5.1333,46.7778
5.1667,47.8526
5.2000,47.5737
5.2333,45.1905
5.2667,48.3061
5.3000,53.3401
5.3333,47.2494
5.3667,48.4649
5.4000,48.9955
5.4333,52.9274
5.4667,55.5601
5.5000,50.4172
5.5333,50.7778
5.5667,52.9320
5.6000,57.3560
5.6333,55.6780
5.6667,51.3832
5.7000,52.2041
5.7333,55.0680
5.7667,56.3560
5.8000,53.9070
5.8333,50.8435
5.8667,51.4921
5.9000,58.2404
5.9333,57.5397
5.9667,51.9297
6.0000,48.0839
6.0333,57.0340
6.0667,58.5737
6.1000,55.4603
6.1333,49.9365
6.1667,50.7324
6.2000,58.6780
6.2333,57.5510
6.2667,52.3401
6.3000,48.6440
6.3333,52.0726
6.3667,56.0159
6.4000,52.1315
6.4333,46.1542
6.4667,47.3878
6.5000,51.5420
6.5333,52.5737
6.5667,48.4535
6.6000,44.1338
6.6333,47.3855
6.6667,51.3016
6.7000,50.7007
6.7333,45.1224
6.7667,43.7959
6.8000,48.7982
6.8333,50.8277
6.8667,47.2449
6.9000,44.3084
6.9333,255.0000
6.9667,255.0000
7.0000,255.0000
7.0333,255.0000
7.0667,255.0000
7.1000,255.0000
7.1333,255.0000
7.1667,255.0000
7.2000,255.0000
7.2333,255.0000
7.2667,255.0000
7.3000,255.0000
7.3333,255.0000
7.3667,255.0000
7.4000,255.0000
7.4333,255.0000
7.4667,255.0000
7.5000,255.0000
7.5333,255.0000
7.5667,255.0000
7.6000,255.0000
7.6333,255.0000
7.6667,255.0000
7.7000,255.0000
7.7333,255.0000
7.7667,255.0000
7.8000,255.0000
7.8333,255.0000
7.8667,255.0000
7.9000,255.0000
7.9333,48.9116
7.9667,47.3832
8.0000,48.9569
8.0333,51.1406
8.0667,50.5601
8.1000,48.3311
8.1333,47.5737
8.1667,49.8322
8.2000,50.1746
8.2333,49.5737
8.2667,46.3855
8.3000,47.0476
8.3333,50.8957
8.3667,52.9252
8.4000,51.3288
8.4333,49.5420
8.4667,52.6122
8.5000,54.5238
8.5333,53.9478
8.5667,52.1950
8.6000,51.6689
8.6333,54.1270
8.6667,55.7052
8.7000,53.0431
8.7333,51.8186
8.7667,53.4308
8.8000,55.7528
8.8333,55.7619
8.8667,52.0000
8.9000,51.5102
8.9333,53.6349
8.9667,55.6054
9.0000,54.2744
9.0333,51.0975
9.0667,51.7732
9.1000,54.2517
9.1333,55.3537
9.1667,53.9342
9.2000,52.6825
9.2333,53.3696
9.2667,54.8571
9.3000,55.0181
9.3333,52.6893
9.3667,52.4875
9.4000,54.8844
9.4333,54.7234
9.4667,53.1066
9.5000,52.4603
9.5333,53.5442
9.5667,54.6077
9.6000,54.7800
9.6333,52.4785
9.6667,52.3560
9.7000,54.3039
9.7333,54.8866
9.7667,54.5488
9.8000,52.3878
9.8333,52.6259
9.8667,54.8299
9.9000,54.4467
9.9333,53.3560
9.9667,52.1315
10.0000,52.8685
10.0333,54.6984
10.0667,54.4240
10.1000,52.8639
10.1333,52.4671
10.1667,54.1338
10.2000,55.6168
10.2333,54.5737
10.2667,52.9342
10.3000,53.6712
10.3333,51.7755
10.3667,51.9048
10.4000,50.1156
10.4333,48.1134
10.4667,49.5805
10.5000,50.3673
10.5333,49.6168
10.5667,47.6689
10.6000,47.7642
10.6333,49.3288
10.6667,49.2925
10.7000,47.8662
10.7333,46.1859
10.7667,46.3991
10.8000,48.2993
10.8333,48.3175
10.8667,46.2358
10.9000,45.1587
10.9333,46.8299
10.9667,49.5873
11.0000,48.8844
11.0333,46.6281
11.0667,47.1882
11.1000,48.7460
11.1333,49.0113
11.1667,48.3265
11.2000,47.6803
11.2333,48.2925
11.2667,49.3220
11.3000,47.7551
11.3333,47.8027
11.3667,47.9297
11.4000,48.6100
11.4333,49.4966
11.4667,47.9342
11.5000,48.0295
11.5333,47.9025
11.5667,48.9615
11.6000,48.6667
11.6333,47.7302
11.6667,48.0862
11.7000,48.9501
11.7333,49.2698
11.7667,48.9478
11.8000,47.5714
11.8333,47.5351
11.8667,49.1973
11.9000,48.3968
11.9333,48.2313
11.9667,47.7098
12.0000,49.4535
12.0333,48.6122
12.0667,48.9116
12.1000,48.3379
12.1333,48.1701
12.1667,48.0884
12.2000,48.6780
12.2333,48.0544
12.2667,48.0045
12.3000,48.8027
12.3333,49.3288
12.3667,48.7143
12.4000,47.6916
12.4333,47.9796
12.4667,48.5873
12.5000,49.1655
12.5333,48.3311
12.5667,48.0952
12.6000,48.2585
12.6333,48.6916
12.6667,49.1293
12.7000,48.5714
12.7333,47.4739
12.7667,48.4580
12.8000,49.1406
12.8333,255.0000
12.8667,255.0000
12.9000,255.0000
12.9333,255.0000
12.9667,255.0000
13.0000,255.0000
13.0333,255.0000
13.0667,255.0000
13.1000,255.0000
13.1333,255.0000
13.1667,255.0000
13.2000,255.0000
13.2333,255.0000
13.2667,255.0000
13.3000,255.0000
13.3333,255.0000
13.3667,255.0000
13.4000,255.0000
13.4333,255.0000
13.4667,255.0000
13.5000,255.0000
13.5333,255.0000
13.5667,255.0000
13.6000,255.0000
13.6333,255.0000
13.6667,255.0000
13.7000,255.0000
13.7333,255.0000
13.7667,255.0000
13.8000,255.0000
13.8333,255.0000
13.8667,50.0454
13.9000,50.6122
13.9333,50.1701
13.9667,49.1746
14.0000,49.7460
14.0333,49.0794
14.0667,48.5760
14.1000,47.4807
14.1333,47.1769
14.1667,48.5079
14.2000,48.1723
14.2333,47.3878
14.2667,47.4150
14.3000,48.0884
14.3333,47.7370
14.3667,48.2993
14.4000,47.4649
14.4333,47.6961
14.4667,47.9116
14.5000,48.3107
14.5333,47.7029
14.5667,47.0295
14.6000,47.7052
14.6333,48.1043
14.6667,47.7687
14.7000,47.2018
14.7333,47.0703
14.7667,47.1837
14.8000,47.4308
14.8333,47.7664
14.8667,47.6531
14.9000,48.2766
14.9333,48.0590
14.9667,48.1043
15.0000,48.2789
15.0333,48.2336
15.0667,48.3787
15.1000,48.3265
15.1333,47.8776
15.1667,47.9410
15.2000,49.0476
15.2333,47.9569
15.2667,48.4354
15.3000,48.1202
15.3333,48.2336
15.3667,48.5601
15.4000,48.0726
15.4333,48.0839
15.4667,47.9751
15.5000,48.3401
15.5333,49.2653
15.5667,47.0522
15.6000,47.4762
15.6333,48.5397
15.6667,48.5556
15.7000,48.1565
15.7333,47.7664
15.7667,47.9297
15.8000,255.0000
15.8333,255.0000
15.8667,255.0000
15.9000,255.0000
15.9333,255.0000
15.9667,255.0000
16.0000,255.0000
16.0333,255.0000
16.0667,255.0000
16.1000,255.0000
16.1333,255.0000
16.1667,255.0000
16.2000,255.0000
16.2333,255.0000
16.2667,255.0000
16.3000,255.0000
16.3333,255.0000
16.3667,255.0000
16.4000,255.0000
16.4333,255.0000
16.4667,255.0000
16.5000,255.0000
16.5333,255.0000
16.5667,255.0000
16.6000,255.0000
16.6333,255.0000
16.6667,255.0000
16.7000,255.0000
16.7333,255.0000
16.7667,255.0000
16.8000,51.6304
16.8333,50.4785
16.8667,48.9683
16.9000,49.2268
16.9333,50.8186
16.9667,49.5624
17.0000,47.5805
17.0333,46.3061
17.0667,48.4830
17.1000,48.8390
17.1333,47.2857
17.1667,46.1837
17.2000,45.9751
17.2333,48.2222
17.2667,48.2336
17.3000,46.5941
17.3333,46.7460
17.3667,48.3537
17.4000,48.7710
17.4333,47.8367
17.4667,46.1315
17.5000,46.2358
17.5333,47.9478
17.5667,48.2086
17.6000,46.5147
17.6333,46.0952
17.6667,46.9410
17.7000,48.4399
17.7333,47.0975
17.7667,255.0000
17.8000,255.0000
17.8333,255.0000
17.8667,255.0000
17.9000,255.0000
17.9333,255.0000
17.9667,255.0000
18.0000,255.0000
18.0333,255.0000
18.0667,255.0000
18.1000,255.0000
18.1333,255.0000
18.1667,255.0000
18.2000,255.0000
18.2333,255.0000
18.2667,255.0000
18.3000,255.0000
18.3333,255.0000
18.3667,255.0000
18.4000,255.0000
18.4333,255.0000
