TIME,INT
0.0333,91.0272
0.0667,85.1655
0.1000,87.3311
0.1333,98.3719
0.1667,104.2426
0.2000,106.2086
0.2333,99.2653
0.2667,95.0385
0.3000,99.5125
0.3333,102.9864
0.3667,99.5669
0.4000,93.6984
0.4333,93.1701
0.4667,98.4785
0.5000,99.3197
0.5333,95.7052
0.5667,91.3764
0.6000,93.4853
0.6333,100.0816
0.6667,98.0454
0.7000,93.3424
0.7333,92.6236
0.7667,97.9796
0.8000,102.8526
0.8333,98.4739
0.8667,93.9660
0.9000,95.1383
0.9333,98.0635
0.9667,97.0045
1.0000,91.2268
1.0333,88.9365
1.0667,91.9002
1.1000,95.0476
1.1333,92.5442
1.1667,87.9048
1.2000,87.0181
1.2333,90.3175
1.2667,90.8549
1.3000,86.0295
1.3333,81.8118
1.3667,83.6735
1.4000,87.3311
1.4333,86.7188
1.4667,82.5760
1.5000,81.5782
1.5333,84.8231
1.5667,87.6485
1.6000,84.8005
1.6333,82.0862
1.6667,82.1338
1.7000,86.5737
1.7333,85.7891
1.7667,82.3605
1.8000,79.5964
1.8333,81.8753
1.8667,84.1020
1.9000,80.7528
1.9333,76.4444
1.9667,74.7664
2.0000,79.0680
2.0333,79.7800
2.0667,77.3673
2.1000,76.1383
2.1333,78.5170
2.1667,82.0408
2.2000,81.4898
2.2333,78.8707
2.2667,77.8481
2.3000,81.1565
2.3333,83.7166
2.3667,80.8095
2.4000,79.3129
2.4333,79.4467
2.4667,82.8753
2.5000,83.4966
2.5333,79.9456
2.5667,79.2971
2.6000,81.3175
2.6333,83.5737
2.6667,82.8753
2.7000,80.0181
2.7333,80.5828
2.7667,83.7937
2.8000,86.1111
2.8333,84.1179
2.8667,83.4807
2.9000,86.4649
2.9333,91.2404
2.9667,91.6712
3.0000,90.6327
3.0333,91.9478
3.0667,95.6780
3.1000,98.3968
3.1333,96.2653
3.1667,94.5986
3.2000,95.5918
3.2333,98.3537
3.2667,97.7619
3.3000,94.4036
3.3333,93.8662
3.3667,96.1270
3.4000,99.3379
3.4333,97.9932
3.4667,95.9955
3.5000,96.0091
3.5333,99.4422
3.5667,100.7166
3.6000,98.2834
3.6333,97.2834
3.6667,99.3129
3.7000,102.6281
3.7333,102.6281
3.7667,97.5601
3.8000,101.4444
3.8333,100.6735
3.8667,110.4535
3.9000,101.5465
3.9333,101.1542
3.9667,105.0544
4.0000,103.5488
4.0333,108.3197
4.0667,101.0091
4.1000,101.9546
4.1333,105.2608
4.1667,105.8095
4.2000,106.0136
4.2333,101.7234
4.2667,101.5941
4.3000,255.0000
4.3333,255.0000
4.3667,255.0000
4.4000,255.0000
4.4333,255.0000
4.4667,255.0000
4.5000,255.0000
4.5333,255.0000
4.5667,255.0000
4.6000,255.0000
4.6333,255.0000
4.6667,255.0000
4.7000,255.0000
4.7333,255.0000
4.7667,255.0000
4.8000,255.0000
4.8333,255.0000
4.8667,255.0000
4.9000,255.0000
4.9333,255.0000
4.9667,255.0000
5.0000,255.0000
5.0333,255.0000
5.0667,255.0000
5.1000,255.0000
5.1333,255.0000
5.1667,255.0000
5.2000,255.0000
5.2333,255.0000
5.2667,255.0000
5.3000,255.0000
5.3333,255.0000
5.3667,255.0000
5.4000,255.0000
5.4333,255.0000
5.4667,255.0000
5.5000,255.0000
5.5333,255.0000
5.5667,255.0000
5.6000,255.0000
5.6333,255.0000
5.6667,255.0000
5.7000,255.0000
5.7333,255.0000
5.7667,255.0000
5.8000,255.0000
5.8333,255.0000
5.8667,255.0000
5.9000,255.0000
5.9333,255.0000
5.9667,255.0000
6.0000,255.0000
6.0333,255.0000
6.0667,255.0000
6.1000,255.0000
6.1333,255.0000
6.1667,255.0000
6.2000,255.0000
6.2333,255.0000
6.2667,255.0000
6.3000,255.0000
6.3333,97.5261
6.3667,89.4694
6.4000,92.9546
6.4333,101.8571
6.4667,100.8571
6.5000,91.5374
6.5333,87.4558
6.5667,94.1633
6.6000,102.7370
6.6333,95.6984
6.6667,87.0680
6.7000,87.6689
6.7333,96.2902
6.7667,99.2177
6.8000,89.7279
6.8333,85.2971
6.8667,89.3855
6.9000,98.8503
6.9333,97.6281
6.9667,90.4308
7.0000,89.2222
7.0333,97.1746
7.0667,102.9705
7.1000,95.7551
7.1333,90.8776
7.1667,94.7755
7.2000,101.1338
7.2333,100.6417
7.2667,93.4082
7.3000,91.2381
7.3333,96.8118
7.3667,102.9456
7.4000,96.8753
7.4333,90.1361
7.4667,93.0544
7.5000,99.9184
7.5333,100.5737
7.5667,92.4966
7.6000,90.5374
7.6333,96.1134
7.6667,100.2404
7.7000,97.1293
7.7333,91.2200
7.7667,93.7324
7.8000,99.5306
7.8333,101.2540
7.8667,95.3311
7.9000,90.7982
7.9333,95.8163
7.9667,101.9410
8.0000,97.4286
8.0333,90.4807
8.0667,89.6984
8.1000,96.1542
8.1333,98.2154
8.1667,93.0181
8.2000,89.6599
8.2333,91.2018
8.2667,97.8163
8.3000,255.0000
8.3333,255.0000
8.3667,255.0000
8.4000,255.0000
8.4333,255.0000
8.4667,255.0000
8.5000,255.0000
8.5333,255.0000
8.5667,255.0000
8.6000,255.0000
8.6333,255.0000
8.6667,255.0000
8.7000,255.0000
8.7333,255.0000
8.7667,255.0000
8.8000,255.0000
8.8333,255.0000
8.8667,255.0000
8.9000,255.0000
8.9333,255.0000
8.9667,255.0000
9.0000,255.0000
9.0333,255.0000
9.0667,255.0000
9.1000,255.0000
9.1333,255.0000
9.1667,255.0000
9.2000,255.0000
9.2333,255.0000
9.2667,255.0000
9.3000,255.0000
9.3333,255.0000
9.3667,255.0000
9.4000,255.0000
9.4333,255.0000
9.4667,255.0000
9.5000,255.0000
9.5333,255.0000
9.5667,255.0000
9.6000,255.0000
9.6333,255.0000
9.6667,255.0000
9.7000,255.0000
9.7333,255.0000
9.7667,255.0000
9.8000,255.0000
9.8333,255.0000
9.8667,255.0000
9.9000,255.0000
9.9333,255.0000
9.9667,255.0000
10.0000,255.0000
10.0333,255.0000
10.0667,255.0000
10.1000,255.0000
10.1333,255.0000
10.1667,255.0000
10.2000,255.0000
10.2333,255.0000
10.2667,255.0000
10.3000,255.0000
10.3333,94.4898
10.3667,94.3243
10.4000,95.9138
10.4333,97.5918
10.4667,94.0499
10.5000,92.0181
10.5333,92.0091
10.5667,94.7483
10.6000,94.9773
10.6333,91.3968
10.6667,90.1927
10.7000,92.0000
10.7333,93.5624
10.7667,92.5397
10.8000,89.0295
10.8333,88.9070
10.8667,92.6576
10.9000,92.7143
10.9333,90.2063
10.9667,89.5306
11.0000,91.7279
11.0333,94.0567
11.0667,93.5102
11.1000,90.4082
11.1333,90.6009
11.1667,91.7596
11.2000,93.6689
11.2333,92.4399
11.2667,90.0794
11.3000,92.0068
11.3333,92.8571
11.3667,93.0023
11.4000,91.7166
11.4333,90.5646
11.4667,92.9410
11.5000,92.5329
11.5333,92.2608
11.5667,91.1950
11.6000,90.5125
11.6333,93.2177
11.6667,92.4694
11.7000,91.9206
11.7333,90.6054
11.7667,91.0816
11.8000,92.3401
11.8333,91.6122
11.8667,89.8186
11.9000,90.0159
11.9333,92.2426
11.9667,93.1791
12.0000,91.6485
12.0333,90.0952
12.0667,91.4966
12.1000,92.8277
12.1333,92.0408
12.1667,90.3107
12.2000,90.3673
12.2333,91.8662
12.2667,92.2313
12.3000,91.8435
12.3333,89.3968
12.3667,90.5442
12.4000,92.4059
12.4333,92.2018
12.4667,91.6281
12.5000,90.2880
12.5333,91.1270
12.5667,92.4286
12.6000,91.8889
12.6333,91.1043
12.6667,90.8866
12.7000,91.4717
12.7333,91.8526
