TIME,INT
0.0333,223.7143
0.0667,228.0340
0.1000,255.0000
0.1333,255.0000
0.1667,255.0000
0.2000,255.0000
0.2333,255.0000
0.2667,255.0000
0.3000,255.0000
0.3333,255.0000
0.3667,255.0000
0.4000,255.0000
0.4333,255.0000
0.4667,255.0000
0.5000,255.0000
0.5333,255.0000
0.5667,255.0000
0.6000,255.0000
0.6333,255.0000
0.6667,255.0000
0.7000,255.0000
0.7333,255.0000
0.7667,255.0000
0.8000,255.0000
0.8333,255.0000
0.8667,255.0000
0.9000,255.0000
0.9333,255.0000
0.9667,255.0000
1.0000,255.0000
1.0333,255.0000
1.0667,255.0000
1.1000,255.0000
1.1333,233.6485
1.1667,233.3515
1.2000,233.7211
1.2333,234.1678
1.2667,234.4580
1.3000,233.7664
1.3333,233.5397
1.3667,234.4331
1.4000,234.7256
1.4333,234.5556
1.4667,233.2880
1.5000,233.7937
1.5333,234.4444
1.5667,235.2902
1.6000,234.3968
1.6333,233.5624
1.6667,234.7211
1.7000,234.8322
1.7333,234.9365
1.7667,234.7755
1.8000,234.3152
1.8333,234.5964
1.8667,235.2086
1.9000,234.8798
1.9333,234.2630
1.9667,234.7755
2.0000,235.6417
2.0333,235.0544
2.0667,234.9819
2.1000,234.1791
2.1333,234.7029
2.1667,234.9546
2.2000,234.9456
2.2333,234.8458
2.2667,234.4172
2.3000,235.0181
2.3333,234.9410
2.3667,234.7823
2.4000,234.1791
2.4333,234.1791
2.4667,234.6327
2.5000,234.7891
2.5333,234.9184
2.5667,234.2993
2.6000,234.6961
2.6333,234.8367
2.6667,234.9524
2.7000,234.8027
2.7333,234.2381
2.7667,235.2517
2.8000,235.3628
2.8333,235.3628
2.8667,234.4671
2.9000,234.2313
2.9333,234.8073
2.9667,235.1519
3.0000,235.1497
3.0333,234.5079
3.0667,234.4762
3.1000,234.9252
3.1333,235.1678
3.1667,235.0000
3.2000,234.3107
3.2333,234.4739
3.2667,234.8254
3.3000,234.8186
3.3333,234.5374
3.3667,234.3878
3.4000,234.5646
3.4333,235.1633
3.4667,234.8980
3.5000,234.4422
3.5333,234.1723
3.5667,235.1633
3.6000,235.2336
3.6333,235.1882
3.6667,234.2041
3.7000,234.5986
3.7333,234.8912
3.7667,234.6395
3.8000,234.9025
3.8333,234.6712
3.8667,235.0975
3.9000,235.7891
3.9333,235.6100
3.9667,235.3152
4.0000,235.4082
4.0333,236.1474
4.0667,236.6032
4.1000,236.4943
4.1333,237.0408
4.1667,237.1315
4.2000,237.7868
4.2333,238.1111
4.2667,237.7642
4.3000,237.2608
4.3333,237.5986
4.3667,237.7256
4.4000,237.8934
4.4333,237.9048
4.4667,237.3741
4.5000,238.1066
4.5333,238.3968
4.5667,238.1043
4.6000,237.3923
4.6333,237.6553
4.6667,238.1610
4.7000,238.2812
4.7333,238.2109
4.7667,237.7347
4.8000,237.6190
4.8333,237.9252
4.8667,238.0975
4.9000,237.9433
4.9333,237.2200
4.9667,238.1633
5.0000,238.3764
5.0333,255.0000
5.0667,255.0000
5.1000,255.0000
5.1333,255.0000
5.1667,255.0000
5.2000,255.0000
5.2333,255.0000
5.2667,255.0000
5.3000,255.0000
5.3333,255.0000
5.3667,255.0000
5.4000,255.0000
5.4333,255.0000
5.4667,255.0000
5.5000,255.0000
5.5333,255.0000
5.5667,255.0000
5.6000,255.0000
5.6333,255.0000
5.6667,255.0000
5.7000,255.0000
5.7333,255.0000
5.7667,255.0000
5.8000,255.0000
5.8333,255.0000
5.8667,255.0000
5.9000,255.0000
5.9333,255.0000
5.9667,255.0000
6.0000,255.0000
6.0333,255.0000
6.0667,237.0431
6.1000,237.0476
6.1333,237.0023
6.1667,236.2494
6.2000,236.6032
6.2333,236.8254
