TIME,INT
0.0333,255.0000
0.0667,255.0000
0.1000,255.0000
0.1333,255.0000
0.1667,255.0000
0.2000,255.0000
0.2333,255.0000
0.2667,255.0000
0.3000,255.0000
0.3333,255.0000
0.3667,255.0000
0.4000,255.0000
0.4333,255.0000
0.4667,255.0000
0.5000,255.0000
0.5333,255.0000
0.5667,255.0000
0.6000,255.0000
0.6333,255.0000
0.6667,255.0000
0.7000,255.0000
0.7333,255.0000
0.7667,255.0000
0.8000,255.0000
0.8333,255.0000
0.8667,255.0000
0.9000,255.0000
0.9333,255.0000
0.9667,255.0000
1.0000,255.0000
1.0333,255.0000
1.0667,255.0000
1.1000,255.0000
1.1333,255.0000
1.1667,255.0000
1.2000,255.0000
1.2333,255.0000
1.2667,255.0000
1.3000,255.0000
1.3333,255.0000
1.3667,255.0000
1.4000,255.0000
1.4333,255.0000
1.4667,255.0000
1.5000,255.0000
1.5333,255.0000
1.5667,255.0000
1.6000,255.0000
1.6333,255.0000
1.6667,255.0000
1.7000,255.0000
1.7333,255.0000
1.7667,255.0000
1.8000,255.0000
1.8333,255.0000
1.8667,255.0000
1.9000,255.0000
1.9333,255.0000
1.9667,255.0000
2.0000,255.0000
2.0333,255.0000
2.0667,255.0000
2.1000,255.0000
2.1333,255.0000
2.1667,255.0000
2.2000,255.0000
2.2333,255.0000
2.2667,255.0000
2.3000,255.0000
2.3333,255.0000
2.3667,255.0000
2.4000,255.0000
2.4333,255.0000
2.4667,255.0000
2.5000,255.0000
2.5333,255.0000
2.5667,255.0000
2.6000,255.0000
2.6333,255.0000
2.6667,255.0000
2.7000,255.0000
2.7333,255.0000
2.7667,255.0000
2.8000,255.0000
2.8333,255.0000
2.8667,255.0000
2.9000,255.0000
2.9333,255.0000
2.9667,255.0000
3.0000,255.0000
3.0333,255.0000
3.0667,255.0000
3.1000,255.0000
3.1333,255.0000
3.1667,255.0000
3.2000,255.0000
3.2333,255.0000
3.2667,255.0000
3.3000,255.0000
