TIME,INT
0.0333,255.0000
0.0667,255.0000
0.1000,255.0000
0.1333,255.0000
0.1667,255.0000
0.2000,255.0000
0.2333,255.0000
0.2667,255.0000
0.3000,255.0000
0.3333,255.0000
0.3667,255.0000
0.4000,255.0000
0.4333,254.9955
0.4667,32.4308
0.5000,32.8481
0.5333,33.3061
0.5667,33.2585
0.6000,32.8912
0.6333,33.2290
0.6667,33.1814
0.7000,34.0159
0.7333,34.5941
0.7667,34.2766
0.8000,34.7075
0.8333,34.9116
0.8667,35.3696
0.9000,34.9456
0.9333,34.7982
0.9667,36.6621
1.0000,37.1995
1.0333,37.4240
1.0667,37.4649
1.1000,39.7460
1.1333,41.0023
1.1667,40.3968
1.2000,40.2472
1.2333,40.6440
1.2667,41.0612
1.3000,40.6576
1.3333,40.9637
1.3667,40.9070
1.4000,254.9864
1.4333,255.0000
1.4667,255.0000
1.5000,255.0000
1.5333,255.0000
1.5667,255.0000
1.6000,255.0000
1.6333,255.0000
1.6667,255.0000
1.7000,255.0000
1.7333,255.0000
1.7667,255.0000
1.8000,255.0000
1.8333,255.0000
1.8667,255.0000
1.9000,255.0000
1.9333,255.0000
1.9667,255.0000
2.0000,255.0000
2.0333,255.0000
2.0667,255.0000
2.1000,255.0000
2.1333,255.0000
2.1667,255.0000
2.2000,255.0000
2.2333,255.0000
2.2667,255.0000
2.3000,255.0000
2.3333,255.0000
2.3667,255.0000
2.4000,255.0000
2.4333,32.0680
2.4667,31.7029
2.5000,31.2902
2.5333,31.1950
2.5667,32.7143
2.6000,32.9388
2.6333,33.2517
2.6667,33.9410
2.7000,35.3061
2.7333,35.3288
2.7667,35.0249
2.8000,35.0998
2.8333,37.5805
2.8667,37.6259
2.9000,37.7710
2.9333,37.7506
2.9667,39.6712
3.0000,40.0340
3.0333,40.5510
3.0667,40.4308
3.1000,40.0045
3.1333,40.1723
3.1667,39.6984
3.2000,40.4558
3.2333,40.2290
3.2667,40.1859
3.3000,40.0658
