TIME,INT
0.0333,255.0000
0.0667,255.0000
0.1000,255.0000
0.1333,255.0000
0.1667,255.0000
0.2000,255.0000
0.2333,255.0000
0.2667,255.0000
0.3000,255.0000
0.3333,255.0000
0.3667,255.0000
0.4000,255.0000
0.4333,255.0000
0.4667,255.0000
0.5000,255.0000
0.5333,255.0000
0.5667,255.0000
0.6000,255.0000
0.6333,255.0000
0.6667,255.0000
0.7000,255.0000
0.7333,255.0000
0.7667,255.0000
0.8000,255.0000
0.8333,20.3447
0.8667,19.7868
0.9000,19.8889
0.9333,19.5329
0.9667,19.2132
1.0000,19.2653
1.0333,20.3878
1.0667,20.3492
1.1000,19.8912
1.1333,19.5714
1.1667,20.7392
1.2000,20.9025
1.2333,20.8730
1.2667,21.0952
1.3000,21.6213
1.3333,21.3016
1.3667,21.7075
1.4000,21.4059
1.4333,22.5125
1.4667,21.9751
1.5000,22.7460
1.5333,22.6916
1.5667,22.7528
1.6000,22.4603
1.6333,22.1202
1.6667,22.7234
1.7000,22.1565
1.7333,22.5578
1.7667,22.0023
1.8000,255.0000
1.8333,255.0000
1.8667,255.0000
1.9000,255.0000
1.9333,255.0000
1.9667,255.0000
2.0000,255.0000
2.0333,255.0000
2.0667,255.0000
2.1000,255.0000
2.1333,255.0000
2.1667,255.0000
2.2000,255.0000
2.2333,255.0000
2.2667,255.0000
2.3000,255.0000
2.3333,255.0000
2.3667,255.0000
2.4000,255.0000
2.4333,255.0000
2.4667,255.0000
2.5000,255.0000
2.5333,255.0000
2.5667,255.0000
2.6000,255.0000
2.6333,255.0000
2.6667,255.0000
2.7000,255.0000
2.7333,255.0000
2.7667,255.0000
2.8000,255.0000
2.8333,255.0000
2.8667,255.0000
2.9000,255.0000
2.9333,255.0000
2.9667,255.0000
3.0000,255.0000
3.0333,255.0000
3.0667,255.0000
3.1000,255.0000
3.1333,255.0000
3.1667,255.0000
3.2000,255.0000
3.2333,255.0000
3.2667,255.0000
3.3000,255.0000
