TIME,INT
0.0333,5.7359
0.0667,4.9301
0.1000,8.4552
0.1333,8.3332
0.1667,8.3019
0.2000,8.2538
0.2333,8.1212
0.2667,8.1823
0.3000,8.0775
0.3333,8.0798
0.3667,8.1001
0.4000,7.9512
0.4333,7.9821
0.4667,7.8830
0.5000,7.9307
0.5333,7.8941
0.5667,7.8736
0.6000,7.7699
0.6333,7.5114
0.6667,7.7088
0.7000,7.5022
0.7333,7.5032
0.7667,7.6190
0.8000,7.7180
0.8333,7.7143
0.8667,7.6574
0.9000,8.1245
0.9333,14.2381
0.9667,14.3020
1.0000,14.3912
1.0333,14.5340
1.0667,14.6230
1.1000,14.7471
1.1333,14.9721
1.1667,14.9560
1.2000,15.0676
1.2333,15.0671
1.2667,15.2090
1.3000,15.2082
1.3333,15.2959
1.3667,15.4648
1.4000,15.4676
1.4333,15.6642
1.4667,15.4349
1.5000,15.6802
1.5333,15.5303
1.5667,15.6134
1.6000,15.5194
1.6333,15.5258
1.6667,15.7214
1.7000,15.4947
1.7333,15.4006
1.7667,15.6529
1.8000,15.4041
1.8333,15.4738
1.8667,15.3792
1.9000,15.3872
1.9333,8.5438
1.9667,8.2392
2.0000,8.1807
2.0333,8.0715
2.0667,7.9572
2.1000,7.9304
2.1333,7.9131
2.1667,7.8031
2.2000,7.8041
2.2333,7.7568
2.2667,7.7593
2.3000,7.7868
2.3333,7.8063
2.3667,7.7609
2.4000,7.7052
2.4333,7.6746
2.4667,7.5186
2.5000,7.2665
2.5333,7.5231
2.5667,7.3881
2.6000,7.4220
2.6333,7.4948
2.6667,7.4389
2.7000,7.5475
2.7333,7.6006
2.7667,7.5718
2.8000,7.5723
2.8333,7.7751
2.8667,7.7186
2.9000,7.4878
2.9333,7.5147
2.9667,7.8027
3.0000,7.6470
3.0333,7.6634
3.0667,7.5747
3.1000,7.8144
3.1333,7.9251
3.1667,7.9980
3.2000,8.1153
3.2333,7.9858
3.2667,7.8636
3.3000,7.9373
3.3333,7.8953
3.3667,7.8488
3.4000,7.7627
3.4333,7.8833
3.4667,7.7429
3.5000,7.8160
3.5333,7.8700
3.5667,7.7119
3.6000,7.8747
3.6333,7.7397
3.6667,7.6723
3.7000,7.8654
3.7333,7.7292
3.7667,7.8982
3.8000,7.6944
3.8333,7.8866
3.8667,7.8084
3.9000,8.0730
3.9333,14.0553
3.9667,14.3636
4.0000,14.4902
4.0333,14.6025
4.0667,14.7157
4.1000,14.7977
4.1333,14.7968
4.1667,14.9030
4.2000,14.8506
4.2333,14.9968
4.2667,14.9617
4.3000,14.9855
4.3333,15.0080
4.3667,15.0436
4.4000,14.9970
4.4333,15.0430
4.4667,15.1879
4.5000,15.2787
4.5333,15.1060
4.5667,15.0767
4.6000,15.1691
4.6333,15.0701
4.6667,15.1928
4.7000,15.0972
4.7333,15.0563
4.7667,15.0876
4.8000,14.9834
4.8333,15.1513
4.8667,15.1508
4.9000,15.0066
4.9333,8.6824
4.9667,8.3216
5.0000,8.2073
5.0333,8.1299
5.0667,8.0399
5.1000,8.0747
5.1333,7.9427
5.1667,7.9496
5.2000,7.9320
5.2333,7.9901
5.2667,7.9800
5.3000,8.0030
5.3333,7.9778
5.3667,7.7953
5.4000,7.7350
5.4333,7.6848
5.4667,7.8343
5.5000,7.7173
5.5333,7.6754
5.5667,7.5907
5.6000,7.7989
5.6333,7.6664
5.6667,7.7679
5.7000,7.6674
5.7333,7.6535
5.7667,7.5669
5.8000,7.6439
5.8333,7.7292
5.8667,7.6969
5.9000,7.6013
5.9333,7.7885
5.9667,7.7654
6.0000,7.7313
6.0333,7.6757
6.0667,7.6713
6.1000,7.7265
6.1333,7.5923
6.1667,7.6056
6.2000,7.5516
6.2333,7.7081
6.2667,7.8001
6.3000,7.6898
6.3333,7.6958
6.3667,7.5974
6.4000,7.5440
6.4333,7.6482
6.4667,7.7333
6.5000,7.6969
6.5333,7.7002
6.5667,7.6076
6.6000,7.7230
6.6333,7.5547
6.6667,7.6250
6.7000,7.5993
6.7333,7.7770
6.7667,7.6499
6.8000,7.6137
6.8333,7.6855
6.8667,7.8591
6.9000,7.7934
6.9333,7.6794
6.9667,7.7182
7.0000,7.7717
7.0333,7.6218
7.0667,7.8829
7.1000,7.6641
7.1333,7.8028
7.1667,7.8810
7.2000,7.8459
7.2333,7.8861
7.2667,7.8346
7.3000,7.6700
7.3333,7.7116
7.3667,7.8511
7.4000,7.9148
7.4333,7.7566
7.4667,7.9058
7.5000,7.8340
7.5333,7.9006
7.5667,7.7893
7.6000,7.7832
7.6333,7.7929
7.6667,7.9209
7.7000,7.8284
7.7333,7.8601
7.7667,7.9274
7.8000,7.8724
7.8333,7.9539
7.8667,7.8226
7.9000,7.9834
7.9333,7.7254
7.9667,7.8236
8.0000,7.9265
8.0333,7.7801
8.0667,7.7850
8.1000,7.8618
8.1333,7.7820
8.1667,7.7825
8.2000,7.9306
8.2333,7.7926
8.2667,7.8254
8.3000,7.8935
8.3333,7.6516
8.3667,7.5769
8.4000,7.6923
8.4333,7.6437
8.4667,7.5688
8.5000,7.4866
8.5333,7.5329
8.5667,7.4322
8.6000,7.5568
8.6333,7.5407
8.6667,7.4748
8.7000,7.6246
8.7333,7.4879
8.7667,7.6863
8.8000,7.6458
8.8333,7.7024
8.8667,7.6949
8.9000,7.6650
8.9333,13.0814
8.9667,13.6897
9.0000,13.8580
9.0333,13.8460
9.0667,13.9339
9.1000,14.0320
9.1333,14.0968
9.1667,14.1127
9.2000,14.1426
9.2333,14.1944
9.2667,14.2415
9.3000,14.2591
9.3333,14.4456
9.3667,14.4179
9.4000,14.4523
9.4333,14.3870
9.4667,14.3266
9.5000,14.3506
9.5333,14.3039
9.5667,14.2692
9.6000,14.3552
9.6333,14.3438
9.6667,14.3462
9.7000,14.2921
9.7333,14.3752
9.7667,14.3531
9.8000,14.3761
9.8333,14.4548
9.8667,14.4144
9.9000,14.4365
9.9333,14.3968
9.9667,14.4351
10.0000,14.4231
10.0333,14.4523
10.0667,14.4491
10.1000,14.4754
10.1333,14.3981
10.1667,14.5619
10.2000,14.3290
10.2333,14.3138
10.2667,14.4074
10.3000,14.2884
10.3333,14.2871
10.3667,14.1681
10.4000,14.3044
10.4333,14.2806
10.4667,14.2382
10.5000,14.1252
10.5333,14.3811
10.5667,14.4089
10.6000,14.2876
10.6333,14.3275
10.6667,14.4345
10.7000,14.3975
10.7333,14.3395
10.7667,14.3844
10.8000,14.3442
10.8333,14.3769
10.8667,14.2951
10.9000,14.3215
10.9333,9.5256
10.9667,8.2022
11.0000,8.1568
11.0333,8.1578
11.0667,8.0717
11.1000,8.0828
11.1333,8.0516
11.1667,8.0350
11.2000,8.0341
11.2333,8.0674
11.2667,8.0301
11.3000,8.0409
11.3333,7.7442
11.3667,7.8254
11.4000,7.9144
11.4333,7.9195
11.4667,7.8838
11.5000,7.9141
11.5333,7.9136
11.5667,7.8614
11.6000,7.7850
11.6333,7.8347
11.6667,7.7861
11.7000,7.8044
11.7333,7.8109
11.7667,7.8740
11.8000,7.9065
11.8333,7.8638
11.8667,7.9388
11.9000,7.8632
11.9333,7.8247
11.9667,7.8276
12.0000,7.8687
12.0333,7.7273
12.0667,7.7194
12.1000,7.6479
12.1333,7.5614
12.1667,7.6278
12.2000,7.7273
12.2333,7.7022
12.2667,7.5784
12.3000,7.5716
12.3333,7.6259
12.3667,7.5732
12.4000,7.5608
12.4333,7.5692
12.4667,7.6600
12.5000,7.5617
12.5333,7.5705
12.5667,7.5239
12.6000,7.5036
12.6333,7.4941
12.6667,7.5166
12.7000,7.5600
12.7333,7.4855
12.7667,7.5374
12.8000,7.5332
12.8333,7.5663
12.8667,7.4874
12.9000,7.5509
12.9333,11.8426
12.9667,12.9652
13.0000,12.9618
13.0333,13.0818
13.0667,13.1559
13.1000,13.2148
13.1333,13.1407
13.1667,13.1518
13.2000,13.1606
13.2333,13.1744
13.2667,13.2070
13.3000,13.3452
13.3333,13.3050
13.3667,13.3363
13.4000,13.3251
13.4333,13.3398
13.4667,13.3118
13.5000,13.3253
13.5333,13.3045
13.5667,13.3889
13.6000,13.3867
13.6333,13.2922
13.6667,13.4010
13.7000,13.3528
13.7333,13.2445
13.7667,13.2942
13.8000,13.2732
13.8333,13.3382
13.8667,13.3177
13.9000,13.3106
13.9333,9.6753
13.9667,7.6779
14.0000,7.6104
14.0333,7.5987
14.0667,7.5054
14.1000,7.4514
14.1333,7.4503
14.1667,7.4463
14.2000,7.3868
14.2333,7.3907
14.2667,7.2991
14.3000,7.2935
14.3333,7.3976
14.3667,7.3283
14.4000,7.3613
14.4333,7.3673
14.4667,7.3311
14.5000,7.3994
14.5333,7.0767
14.5667,7.2963
14.6000,7.2836
14.6333,7.3058
14.6667,7.2638
14.7000,7.2227
14.7333,7.0187
14.7667,7.3198
14.8000,7.0613
14.8333,7.2284
14.8667,7.2279
14.9000,7.1941
14.9333,10.9316
14.9667,12.4446
15.0000,12.3071
15.0333,12.3858
15.0667,12.4996
15.1000,12.6162
