TIME,INT
0.0333,254.9887
0.0667,254.9887
0.1000,254.9751
0.1333,254.9932
0.1667,254.9977
0.2000,255.0000
0.2333,255.0000
0.2667,255.0000
0.3000,255.0000
0.3333,254.9977
0.3667,255.0000
0.4000,254.9955
0.4333,255.0000
0.4667,254.9977
0.5000,254.9977
0.5333,254.9955
0.5667,255.0000
0.6000,254.9955
0.6333,254.9977
0.6667,254.9955
0.7000,254.9887
0.7333,254.9932
0.7667,206.5805
0.8000,0.5737
0.8333,0.5442
0.8667,0.6145
0.9000,0.5306
0.9333,0.6100
0.9667,0.6009
1.0000,0.6168
1.0333,0.4376
1.0667,0.6485
1.1000,0.6485
1.1333,0.6848
1.1667,0.6848
1.2000,0.7302
1.2333,0.6667
1.2667,0.4150
1.3000,0.5102
1.3333,0.6984
1.3667,0.6168
1.4000,0.6236
1.4333,0.6871
1.4667,0.7574
1.5000,0.7370
1.5333,0.8753
1.5667,0.8844
1.6000,0.9932
1.6333,1.0023
1.6667,1.1474
1.7000,1.0839
1.7333,247.7755
1.7667,254.9955
1.8000,254.9841
1.8333,254.9796
1.8667,254.9864
1.9000,254.9932
1.9333,254.9932
1.9667,254.9932
2.0000,254.9887
2.0333,255.0000
2.0667,254.9977
2.1000,255.0000
2.1333,254.9955
2.1667,255.0000
2.2000,254.9977
2.2333,255.0000
2.2667,254.9977
2.3000,254.9955
2.3333,254.9932
2.3667,254.9932
2.4000,254.9932
2.4333,254.9932
2.4667,254.9932
2.5000,254.9887
2.5333,254.9977
2.5667,254.9932
2.6000,255.0000
2.6333,254.9909
2.6667,254.9909
2.7000,254.9955
2.7333,239.6893
2.7667,1.1179
2.8000,1.1905
2.8333,1.4150
2.8667,1.6122
2.9000,1.5805
2.9333,1.3719
2.9667,1.4195
3.0000,1.3424
3.0333,1.2902
3.0667,1.1701
3.1000,1.2222
3.1333,0.8050
3.1667,0.8254
3.2000,0.8957
3.2333,0.9070
3.2667,0.9048
3.3000,1.0635
3.3333,1.0385
3.3667,1.1043
3.4000,1.1406
3.4333,1.1950
3.4667,0.9206
3.5000,0.9093
3.5333,1.0272
3.5667,1.1542
3.6000,1.1973
3.6333,1.0181
3.6667,1.0794
3.7000,236.0930
3.7333,254.9841
3.7667,254.9841
3.8000,254.9932
3.8333,254.9909
3.8667,254.9909
3.9000,254.9955
3.9333,254.9932
3.9667,254.9955
4.0000,254.9932
4.0333,255.0000
4.0667,254.9841
4.1000,254.9955
4.1333,254.9955
4.1667,254.9932
4.2000,254.9932
4.2333,254.9955
4.2667,254.9955
4.3000,254.9977
4.3333,254.9977
4.3667,254.9955
4.4000,254.9955
4.4333,254.9932
4.4667,255.0000
4.5000,254.9977
4.5333,254.9977
4.5667,254.9977
4.6000,254.9977
4.6333,254.9932
4.6667,254.9977
4.7000,254.9977
4.7333,254.9887
4.7667,254.9909
4.8000,254.9932
4.8333,255.0000
4.8667,254.9932
4.9000,255.0000
4.9333,254.9932
4.9667,254.9932
5.0000,254.9932
5.0333,255.0000
5.0667,255.0000
5.1000,254.9977
5.1333,254.9977
5.1667,255.0000
5.2000,255.0000
5.2333,255.0000
5.2667,254.9955
5.3000,254.9955
5.3333,255.0000
5.3667,255.0000
5.4000,255.0000
5.4333,255.0000
5.4667,255.0000
5.5000,255.0000
5.5333,255.0000
5.5667,254.9977
5.6000,255.0000
5.6333,255.0000
5.6667,255.0000
5.7000,255.0000
5.7333,255.0000
5.7667,254.9955
5.8000,254.9955
5.8333,255.0000
5.8667,254.9977
5.9000,254.9977
5.9333,254.9977
5.9667,254.9977
6.0000,254.9977
6.0333,255.0000
6.0667,255.0000
6.1000,254.9932
6.1333,255.0000
6.1667,255.0000
6.2000,255.0000
6.2333,255.0000
6.2667,255.0000
6.3000,254.9955
6.3333,254.9977
6.3667,255.0000
6.4000,254.9955
6.4333,254.9955
6.4667,255.0000
6.5000,255.0000
6.5333,255.0000
6.5667,255.0000
6.6000,254.9955
6.6333,254.9909
6.6667,252.9138
6.7000,1.0023
6.7333,1.2177
6.7667,1.1406
6.8000,1.1474
6.8333,0.9841
6.8667,0.9660
6.9000,1.0680
6.9333,1.3424
6.9667,1.1202
7.0000,1.0204
7.0333,0.7460
7.0667,1.2766
7.1000,0.9864
7.1333,0.8345
7.1667,1.0363
7.2000,1.0113
7.2333,0.8549
7.2667,0.9297
7.3000,0.9342
7.3333,0.8503
7.3667,1.0045
7.4000,1.0476
7.4333,0.9524
7.4667,0.8866
7.5000,0.9456
7.5333,1.0023
7.5667,0.9184
7.6000,0.9683
7.6333,126.3810
7.6667,254.9887
7.7000,254.9796
7.7333,254.9887
7.7667,254.9864
7.8000,254.9887
7.8333,254.9977
7.8667,254.9955
7.9000,254.9977
7.9333,254.9864
7.9667,254.9977
8.0000,254.9977
8.0333,255.0000
8.0667,255.0000
8.1000,255.0000
8.1333,255.0000
8.1667,254.9955
8.2000,254.9955
8.2333,254.9955
8.2667,254.9955
8.3000,255.0000
8.3333,255.0000
8.3667,255.0000
8.4000,255.0000
8.4333,255.0000
8.4667,255.0000
8.5000,255.0000
8.5333,255.0000
8.5667,254.9955
8.6000,255.0000
8.6333,255.0000
8.6667,255.0000
8.7000,254.9977
8.7333,254.9977
8.7667,255.0000
8.8000,255.0000
8.8333,255.0000
8.8667,255.0000
8.9000,255.0000
8.9333,255.0000
8.9667,255.0000
9.0000,255.0000
9.0333,255.0000
9.0667,255.0000
9.1000,255.0000
9.1333,254.9977
9.1667,254.9977
9.2000,254.9977
9.2333,254.9977
9.2667,254.9932
9.3000,255.0000
9.3333,255.0000
9.3667,255.0000
9.4000,255.0000
9.4333,254.9955
9.4667,254.9955
9.5000,254.9955
9.5333,254.9955
9.5667,254.9955
9.6000,254.9955
9.6333,46.1542
9.6667,0.6485
9.7000,0.6372
9.7333,0.6508
9.7667,0.7596
9.8000,0.7596
9.8333,0.7460
9.8667,0.9410
9.9000,0.6871
9.9333,0.7460
9.9667,0.7438
10.0000,0.6825
10.0333,0.6984
10.0667,0.6304
10.1000,0.9546
10.1333,0.8050
10.1667,0.7732
10.2000,0.9138
10.2333,0.6780
10.2667,0.8390
10.3000,0.6122
10.3333,0.6100
10.3667,0.6304
10.4000,0.6440
10.4333,0.8390
10.4667,0.8005
10.5000,0.8186
10.5333,0.6780
10.5667,0.7755
10.6000,0.9252
