TIME,INT
0.0333,0.0000
0.0667,0.0000
0.1000,0.0000
0.1333,0.0000
0.1667,0.0000
0.2000,0.0000
0.2333,0.0001
0.2667,0.0001
0.3000,0.0001
0.3333,0.0000
0.3667,0.0000
0.4000,0.0001
0.4333,0.0001
0.4667,0.0001
0.5000,0.0000
0.5333,0.0001
0.5667,0.0001
0.6000,0.0002
0.6333,0.0001
0.6667,0.0002
0.7000,0.0002
0.7333,0.0003
0.7667,0.0002
0.8000,0.0003
0.8333,0.0002
0.8667,0.0002
0.9000,0.0004
0.9333,0.0002
0.9667,0.0003
1.0000,0.0005
1.0333,0.0003
1.0667,0.0002
1.1000,0.0002
1.1333,0.0001
1.1667,0.0002
1.2000,0.0003
1.2333,0.0003
1.2667,0.0003
1.3000,0.0006
1.3333,0.0005
1.3667,0.0003
1.4000,0.0004
1.4333,0.0005
1.4667,0.0003
1.5000,0.0004
1.5333,0.0010
1.5667,0.0006
1.6000,0.0007
1.6333,0.0010
1.6667,0.0004
1.7000,0.0007
1.7333,0.0005
1.7667,0.0007
1.8000,0.0003
1.8333,0.0007
1.8667,0.0004
1.9000,0.0003
1.9333,0.0006
1.9667,0.0009
2.0000,0.0003
2.0333,0.0005
2.0667,0.0008
2.1000,0.0006
2.1333,0.0005
2.1667,0.0005
2.2000,0.0006
2.2333,0.0008
2.2667,0.0006
2.3000,0.0003
2.3333,0.0002
2.3667,0.0003
2.4000,0.0005
2.4333,0.0007
2.4667,0.0005
2.5000,0.0003
2.5333,0.0007
2.5667,0.0003
2.6000,0.0013
2.6333,0.0006
2.6667,0.0007
2.7000,0.0006
2.7333,31.7220
2.7667,72.4914
2.8000,82.3727
2.8333,82.4966
2.8667,82.6512
2.9000,80.8669
2.9333,80.8606
2.9667,80.8251
3.0000,78.4296
3.0333,78.1462
3.0667,78.1015
3.1000,78.0914
3.1333,78.0199
3.1667,77.8647
3.2000,77.7397
3.2333,77.6106
3.2667,77.4756
3.3000,77.1521
3.3333,77.0293
3.3667,76.9256
3.4000,76.9351
3.4333,76.7788
3.4667,76.7810
3.5000,76.7950
3.5333,76.8598
3.5667,76.7422
3.6000,77.1262
3.6333,77.2726
3.6667,77.2984
3.7000,77.2459
3.7333,34.3311
3.7667,0.0153
3.8000,0.0003
3.8333,0.0001
3.8667,0.0000
3.9000,0.0001
3.9333,0.0015
3.9667,0.0012
4.0000,0.0010
4.0333,0.0012
4.0667,0.0055
4.1000,0.0061
4.1333,0.0065
4.1667,0.0047
4.2000,0.0055
4.2333,0.0060
4.2667,0.0056
4.3000,0.0061
4.3333,0.0061
4.3667,0.0067
4.4000,0.0054
4.4333,0.0061
4.4667,0.0067
4.5000,0.0070
4.5333,0.0061
4.5667,0.0059
4.6000,0.0054
4.6333,0.0054
4.6667,0.0060
4.7000,0.0055
4.7333,46.5695
4.7667,75.0387
4.8000,80.6861
4.8333,80.9245
4.8667,81.0885
4.9000,81.1507
4.9333,78.2178
4.9667,78.2207
5.0000,78.1982
5.0333,77.8140
5.0667,74.5660
5.1000,74.6136
5.1333,74.5998
5.1667,74.3666
5.2000,74.2209
5.2333,74.2548
5.2667,68.9726
5.3000,68.8052
5.3333,68.8225
5.3667,68.8436
5.4000,68.9058
5.4333,67.3999
5.4667,67.7428
5.5000,67.9259
5.5333,67.9463
5.5667,67.7671
5.6000,67.7471
5.6333,67.9300
5.6667,67.8927
5.7000,67.7848
5.7333,10.8495
5.7667,0.0000
5.8000,0.0002
5.8333,0.0001
5.8667,0.0003
5.9000,0.0014
5.9333,0.0011
5.9667,0.0010
6.0000,0.0007
6.0333,0.0059
6.0667,0.0063
6.1000,0.0055
6.1333,0.0062
6.1667,0.0045
6.2000,0.0064
6.2333,0.0054
6.2667,0.0044
6.3000,0.0052
6.3333,0.0046
6.3667,0.0052
6.4000,0.0043
6.4333,0.0043
6.4667,0.0051
6.5000,0.0046
6.5333,0.0046
6.5667,0.0044
6.6000,0.0049
6.6333,0.0040
6.6667,0.0041
6.7000,0.0020
6.7333,0.0014
6.7667,0.0005
6.8000,0.0002
6.8333,0.0004
6.8667,0.0000
6.9000,0.0001
6.9333,0.0002
6.9667,0.0002
7.0000,0.0002
7.0333,0.0001
7.0667,0.0001
7.1000,0.0000
7.1333,0.0001
7.1667,0.0001
7.2000,0.0001
7.2333,0.0001
7.2667,0.0000
7.3000,0.0000
7.3333,0.0001
7.3667,0.0001
7.4000,0.0001
7.4333,0.0002
7.4667,0.0001
7.5000,0.0001
7.5333,0.0002
7.5667,0.0001
7.6000,0.0003
7.6333,0.0004
7.6667,0.0002
7.7000,0.0004
7.7333,0.0002
7.7667,0.0004
7.8000,0.0004
7.8333,0.0003
7.8667,0.0001
7.9000,0.0002
7.9333,0.0003
7.9667,0.0003
8.0000,0.0002
8.0333,0.0004
8.0667,0.0001
8.1000,0.0001
8.1333,0.0003
8.1667,0.0002
8.2000,0.0002
8.2333,0.0002
8.2667,0.0002
8.3000,0.0004
8.3333,0.0003
8.3667,0.0007
8.4000,0.0009
8.4333,0.0010
8.4667,0.0012
8.5000,0.0008
8.5333,0.0006
8.5667,0.0007
8.6000,0.0005
8.6333,0.0008
8.6667,0.0006
8.7000,2.5336
8.7333,62.0757
8.7667,74.0639
8.8000,80.1173
8.8333,80.2852
8.8667,80.3722
8.9000,80.4467
8.9333,77.2337
8.9667,77.1687
9.0000,76.9639
9.0333,76.8220
9.0667,73.4230
9.1000,73.3301
9.1333,73.0221
9.1667,72.8620
9.2000,72.8558
9.2333,72.7006
9.2667,72.4172
9.3000,72.5151
9.3333,72.4865
9.3667,72.5359
9.4000,72.4668
9.4333,72.4530
9.4667,72.6205
9.5000,72.5942
9.5333,72.5082
9.5667,72.5394
9.6000,72.6950
9.6333,72.7268
9.6667,72.6500
9.7000,70.3944
9.7333,4.0036
9.7667,0.0007
9.8000,0.0000
9.8333,0.0000
9.8667,0.0000
9.9000,0.0000
9.9333,0.0000
9.9667,0.0000
10.0000,0.0000
10.0333,0.0000
10.0667,0.0001
10.1000,0.0001
10.1333,0.0001
10.1667,0.0001
10.2000,0.0000
10.2333,0.0001
10.2667,0.0001
10.3000,0.0002
10.3333,0.0006
10.3667,0.0003
10.4000,0.0005
10.4333,0.0008
10.4667,0.0014
10.5000,0.0015
10.5333,0.0015
10.5667,0.0014
