TIME,INT
0.0333,0.0000
0.0667,0.0000
0.1000,0.0000
0.1333,0.0000
0.1667,0.0000
0.2000,0.0000
0.2333,0.0000
0.2667,0.0000
0.3000,0.0000
0.3333,0.0000
0.3667,0.0000
0.4000,0.0000
0.4333,8.5139
0.4667,61.1817
0.5000,69.1031
0.5333,68.7896
0.5667,68.5597
0.6000,66.4868
0.6333,66.4668
0.6667,66.3142
0.7000,63.5530
0.7333,63.5533
0.7667,63.4116
0.8000,60.3840
0.8333,60.4360
0.8667,60.2225
0.9000,56.9175
0.9333,56.6764
0.9667,56.2878
1.0000,53.1262
1.0333,52.8887
1.0667,52.9796
1.1000,51.8370
1.1333,51.6557
1.1667,51.6169
1.2000,51.6795
1.2333,51.5660
1.2667,51.5405
1.3000,51.4340
1.3333,51.5642
1.3667,51.5135
1.4000,51.4728
1.4333,51.5022
1.4667,51.4619
1.5000,51.4333
1.5333,51.3149
1.5667,51.3049
1.6000,51.5101
1.6333,51.4597
1.6667,51.6917
1.7000,51.5007
1.7333,51.7745
1.7667,51.6560
1.8000,51.5133
1.8333,51.4555
1.8667,51.6867
1.9000,51.7696
1.9333,51.6273
1.9667,51.3724
2.0000,51.3398
2.0333,51.0218
2.0667,50.9036
2.1000,50.9383
2.1333,51.0611
2.1667,50.9917
2.2000,50.9720
2.2333,50.9473
2.2667,50.9736
2.3000,50.9330
2.3333,50.9867
2.3667,50.9695
2.4000,50.9226
2.4333,29.6447
2.4667,0.0011
2.5000,0.0018
2.5333,0.0019
2.5667,0.0027
2.6000,0.0059
2.6333,0.0060
2.6667,0.0056
2.7000,0.0108
2.7333,0.0115
2.7667,0.0116
2.8000,0.0114
2.8333,0.0109
2.8667,0.0124
2.9000,0.0111
2.9333,0.0111
2.9667,0.0111
3.0000,0.0118
3.0333,0.0123
3.0667,0.0127
3.1000,0.0101
3.1333,0.0108
3.1667,0.0121
3.2000,0.0121
3.2333,0.0105
3.2667,0.0109
3.3000,0.0107
3.3333,0.0115
3.3667,0.0101
3.4000,0.0104
3.4333,0.0106
3.4667,0.0108
3.5000,0.0103
3.5333,0.0092
3.5667,0.0095
3.6000,0.0104
3.6333,0.0098
3.6667,0.0098
3.7000,0.0091
3.7333,0.0086
3.7667,0.0095
3.8000,0.0100
3.8333,0.0090
3.8667,0.0094
3.9000,0.0106
3.9333,0.0090
3.9667,0.0086
4.0000,0.0092
4.0333,0.0093
4.0667,0.0090
4.1000,0.0088
4.1333,0.0087
4.1667,0.0084
4.2000,0.0095
4.2333,0.0094
4.2667,0.0085
4.3000,0.0090
4.3333,0.0089
4.3667,0.0095
4.4000,0.0092
4.4333,23.9873
4.4667,58.7621
4.5000,67.1666
4.5333,67.2190
4.5667,67.3355
4.6000,67.4735
4.6333,64.0426
4.6667,64.1684
4.7000,64.2889
4.7333,64.3234
4.7667,60.4039
4.8000,60.4576
4.8333,60.1947
4.8667,60.2198
4.9000,56.2325
4.9333,56.2253
4.9667,56.0050
5.0000,55.7045
5.0333,55.2518
5.0667,51.1974
5.1000,51.1796
5.1333,51.1244
5.1667,51.3075
5.2000,51.3092
5.2333,51.3394
5.2667,51.2845
5.3000,51.1961
5.3333,51.2063
5.3667,51.2056
5.4000,51.0933
5.4333,20.5366
5.4667,0.0000
5.5000,0.0000
5.5333,0.0000
5.5667,0.0000
5.6000,0.0000
5.6333,0.0000
5.6667,0.0000
5.7000,0.0000
5.7333,0.0000
5.7667,0.0000
5.8000,0.0000
5.8333,0.0000
5.8667,0.0000
5.9000,0.0001
5.9333,0.0008
5.9667,0.0018
6.0000,0.0025
6.0333,0.0023
6.0667,0.0021
6.1000,0.0015
6.1333,0.0020
6.1667,0.0022
6.2000,0.0013
6.2333,0.0017
6.2667,0.0020
6.3000,0.0015
6.3333,0.0019
6.3667,0.0020
6.4000,0.0015
6.4333,32.8473
6.4667,59.2312
6.5000,66.0906
6.5333,66.0828
6.5667,66.1446
6.6000,66.2534
6.6333,63.6450
6.6667,63.6621
6.7000,63.8136
6.7333,63.7273
6.7667,60.4264
6.8000,60.2865
6.8333,60.1668
6.8667,59.9784
6.9000,56.0385
6.9333,55.9362
6.9667,55.8686
7.0000,55.8090
7.0333,55.4763
7.0667,51.6332
7.1000,51.6615
7.1333,51.7352
7.1667,51.2352
7.2000,51.2147
7.2333,51.3008
7.2667,51.1019
7.3000,51.0862
7.3333,51.0341
7.3667,50.6334
7.4000,50.6567
7.4333,50.5998
7.4667,50.6706
7.5000,50.6434
7.5333,50.5979
7.5667,50.4596
7.6000,50.3505
7.6333,50.2743
7.6667,50.4113
7.7000,50.1748
7.7333,50.1540
7.7667,50.0493
7.8000,50.0228
7.8333,49.9036
7.8667,49.7604
7.9000,49.4910
7.9333,49.4197
7.9667,49.2513
8.0000,49.3736
8.0333,49.4881
8.0667,49.4487
8.1000,49.5382
8.1333,50.0783
8.1667,50.1653
8.2000,50.2109
8.2333,50.4675
8.2667,50.4602
8.3000,50.4152
8.3333,50.4325
8.3667,50.3691
8.4000,50.4175
8.4333,15.0678
8.4667,0.0000
8.5000,0.0000
8.5333,0.0000
8.5667,0.0000
8.6000,0.0000
8.6333,0.0000
8.6667,0.0000
8.7000,0.0000
8.7333,0.0000
8.7667,0.0000
8.8000,0.0000
8.8333,0.0000
8.8667,0.0000
8.9000,0.0000
8.9333,0.0000
8.9667,0.0000
9.0000,0.0000
9.0333,0.0000
9.0667,0.0000
9.1000,0.0000
9.1333,0.0000
9.1667,0.0000
9.2000,0.0000
9.2333,0.0000
9.2667,0.0000
9.3000,0.0000
9.3333,0.0000
9.3667,0.0000
9.4000,0.0000
9.4333,41.4149
9.4667,56.9784
9.5000,65.6593
9.5333,65.4920
9.5667,65.3435
9.6000,62.5782
9.6333,62.2478
9.6667,62.2805
9.7000,62.2149
9.7333,58.1401
9.7667,58.0648
9.8000,58.0914
9.8333,57.8749
9.8667,53.8720
9.9000,53.9540
9.9333,53.6840
9.9667,53.5076
10.0000,49.3935
10.0333,49.2232
10.0667,49.4450
10.1000,49.4803
10.1333,49.6419
10.1667,49.6445
10.2000,49.7410
10.2333,50.2398
10.2667,50.1856
10.3000,50.1535
10.3333,50.3041
10.3667,50.5875
10.4000,50.5711
10.4333,50.5719
10.4667,50.5954
10.5000,50.8024
10.5333,50.7604
10.5667,50.7078
