TIME,INT
0.0333,0.0000
0.0667,0.0000
0.1000,0.0000
0.1333,0.0009
0.1667,0.0012
0.2000,0.0007
0.2333,0.0011
0.2667,0.0005
0.3000,0.0011
0.3333,0.0008
0.3667,0.0013
0.4000,0.0006
0.4333,0.0011
0.4667,0.0005
0.5000,0.0006
0.5333,0.0007
0.5667,0.0006
0.6000,0.0021
0.6333,0.0009
0.6667,0.0010
0.7000,0.0014
0.7333,0.0013
0.7667,7.6508
0.8000,33.1233
0.8333,36.6631
0.8667,36.7234
0.9000,36.7073
0.9333,36.0354
0.9667,35.5930
1.0000,34.8363
1.0333,33.2659
1.0667,33.0355
1.1000,32.8735
1.1333,31.8420
1.1667,31.8721
1.2000,31.8455
1.2333,30.9965
1.2667,31.1919
1.3000,31.3205
1.3333,30.4198
1.3667,30.2494
1.4000,30.0804
1.4333,29.6294
1.4667,29.6391
1.5000,29.7109
1.5333,29.9131
1.5667,30.2785
1.6000,30.6056
1.6333,30.8007
1.6667,30.8770
1.7000,30.8842
1.7333,31.0187
1.7667,22.0396
1.8000,0.1889
1.8333,0.1786
1.8667,0.1854
1.9000,0.1763
1.9333,0.2140
1.9667,0.2056
2.0000,0.2093
2.0333,0.2445
2.0667,0.2433
2.1000,0.2414
2.1333,0.2417
2.1667,0.2497
2.2000,0.2430
2.2333,0.2445
2.2667,0.2469
2.3000,0.2546
2.3333,0.2533
2.3667,0.2523
2.4000,0.2633
2.4333,0.2723
2.4667,0.2757
2.5000,0.2787
2.5333,0.2834
2.5667,0.2893
2.6000,0.2821
2.6333,0.2754
2.6667,0.2743
2.7000,0.2801
2.7333,0.2772
2.7667,11.1649
2.8000,33.8307
2.8333,36.3917
2.8667,36.3814
2.9000,36.2768
2.9333,36.1869
2.9667,35.4333
3.0000,35.3508
3.0333,35.3246
3.0667,35.2581
3.1000,34.1729
3.1333,34.0439
3.1667,33.7562
3.2000,33.4640
3.2333,32.2045
3.2667,32.0096
3.3000,31.8809
3.3333,31.9084
3.3667,30.8292
3.4000,30.7074
3.4333,30.6391
3.4667,30.6058
3.5000,30.6061
3.5333,30.5575
3.5667,30.5571
3.6000,30.5316
3.6333,30.6043
3.6667,30.5803
3.7000,30.5406
3.7333,30.5769
3.7667,15.3938
3.8000,0.0000
3.8333,0.0000
3.8667,0.0000
3.9000,0.0000
3.9333,0.0001
3.9667,0.0002
4.0000,0.0002
4.0333,0.0005
4.0667,0.0005
4.1000,0.0003
4.1333,0.0003
4.1667,0.0001
4.2000,0.0001
4.2333,0.0001
4.2667,0.0000
4.3000,0.0000
4.3333,0.0001
4.3667,0.0001
4.4000,0.0001
4.4333,0.0001
4.4667,0.0001
4.5000,0.0001
4.5333,0.0001
4.5667,0.0002
4.6000,0.0001
4.6333,0.0002
4.6667,0.0002
4.7000,0.0003
4.7333,0.0003
4.7667,15.0311
4.8000,34.4107
4.8333,37.5029
4.8667,37.6624
4.9000,37.6298
4.9333,37.4576
4.9667,36.3766
5.0000,35.5050
5.0333,35.2070
5.0667,35.0771
5.1000,34.0417
5.1333,33.8829
5.1667,33.8934
5.2000,33.8864
5.2333,32.8017
5.2667,32.7152
5.3000,32.8367
5.3333,31.9721
5.3667,31.8585
5.4000,31.8384
5.4333,32.0476
5.4667,31.9042
5.5000,32.2943
5.5333,32.5088
5.5667,32.6120
5.6000,32.6009
5.6333,32.6366
5.6667,32.6385
5.7000,32.6611
5.7333,32.6324
5.7667,32.6557
5.8000,32.6102
5.8333,32.6230
5.8667,32.5141
5.9000,32.4162
5.9333,32.3598
5.9667,32.2484
6.0000,32.1284
6.0333,32.0602
6.0667,32.0179
6.1000,32.0965
6.1333,32.0398
6.1667,32.2908
6.2000,32.1685
6.2333,32.1615
6.2667,32.1371
6.3000,31.9707
6.3333,31.9612
6.3667,31.9909
6.4000,31.7677
6.4333,31.7874
6.4667,31.7744
6.5000,31.7405
6.5333,31.7519
6.5667,31.7373
6.6000,31.6795
6.6333,31.7628
6.6667,31.8164
6.7000,31.7912
6.7333,31.9241
6.7667,5.8831
6.8000,0.0072
6.8333,0.0069
6.8667,0.0162
6.9000,0.0098
6.9333,0.0114
6.9667,0.0064
7.0000,0.0066
7.0333,0.0075
7.0667,0.0071
7.1000,0.0168
7.1333,0.0097
7.1667,0.0084
7.2000,0.0088
7.2333,0.0102
7.2667,0.0127
7.3000,0.0122
7.3333,0.0216
7.3667,0.0100
7.4000,0.0129
7.4333,0.0107
7.4667,0.0153
7.5000,0.0150
7.5333,0.0154
7.5667,0.0162
7.6000,0.0230
7.6333,0.0136
7.6667,0.0219
7.7000,0.0193
7.7333,0.0293
7.7667,0.0347
7.8000,0.0338
7.8333,0.0209
7.8667,0.0208
7.9000,0.0234
7.9333,0.0254
7.9667,0.0300
8.0000,0.0333
8.0333,0.0327
8.0667,0.0305
8.1000,0.0366
8.1333,0.0275
8.1667,0.0291
8.2000,0.0282
8.2333,0.0416
8.2667,0.0227
8.3000,0.0281
8.3333,0.0339
8.3667,0.0372
8.4000,0.0409
8.4333,0.0538
8.4667,0.0564
8.5000,0.0589
8.5333,0.0658
8.5667,0.0776
8.6000,0.1006
8.6333,0.1222
8.6667,0.1466
8.7000,0.1721
8.7333,0.2109
8.7667,0.2563
8.8000,0.2943
8.8333,0.3311
8.8667,0.3798
8.9000,0.4128
8.9333,0.4490
8.9667,0.4688
9.0000,0.4806
9.0333,0.4873
9.0667,0.4938
9.1000,0.4917
9.1333,0.4946
9.1667,0.4972
9.2000,0.4926
9.2333,0.4923
9.2667,0.4946
9.3000,0.4950
9.3333,0.4956
9.3667,0.5002
9.4000,0.5000
9.4333,0.4903
9.4667,0.4821
9.5000,0.4782
9.5333,0.4701
9.5667,0.4677
9.6000,0.4625
9.6333,0.4571
9.6667,0.4601
9.7000,0.4592
9.7333,0.4606
9.7667,0.4710
9.8000,0.4752
9.8333,0.4734
9.8667,0.4780
9.9000,0.4798
9.9333,0.4835
9.9667,0.5003
10.0000,0.5040
10.0333,0.5178
10.0667,0.5249
10.1000,0.5322
10.1333,0.5347
10.1667,0.5446
10.2000,0.5486
10.2333,0.5439
10.2667,0.5504
10.3000,0.5488
10.3333,0.5607
10.3667,0.5526
10.4000,0.5616
10.4333,0.5507
10.4667,0.5540
10.5000,0.5550
10.5333,0.5579
10.5667,0.5555
