TIME,INT
0.0333,38.8147
0.0667,38.5229
0.1000,47.4050
0.1333,47.3438
0.1667,29.9919
0.2000,0.0000
0.2333,0.0000
0.2667,0.0000
0.3000,0.0000
0.3333,0.0000
0.3667,0.0001
0.4000,0.0000
0.4333,0.0000
0.4667,0.0000
0.5000,0.0000
0.5333,0.0000
0.5667,0.0000
0.6000,0.0000
0.6333,0.0000
0.6667,0.0000
0.7000,0.0000
0.7333,0.0000
0.7667,0.0000
0.8000,0.0000
0.8333,0.0000
0.8667,0.0000
0.9000,0.0000
0.9333,0.0000
0.9667,0.0000
1.0000,0.0000
1.0333,0.0000
1.0667,0.0000
1.1000,0.0000
1.1333,0.0000
1.1667,19.0559
1.2000,48.4826
1.2333,53.4012
1.2667,53.2427
1.3000,53.2738
1.3333,53.0509
1.3667,50.8485
1.4000,50.6352
1.4333,50.6344
1.4667,50.5609
1.5000,48.2424
1.5333,48.0359
1.5667,48.2040
1.6000,48.1259
1.6333,46.1521
1.6667,45.8937
1.7000,46.0286
1.7333,44.4591
1.7667,44.2387
1.8000,44.1341
1.8333,43.6946
1.8667,43.6850
1.9000,43.5387
1.9333,43.5292
1.9667,43.6304
2.0000,43.6452
2.0333,43.4907
2.0667,43.4191
2.1000,43.6411
2.1333,43.6593
2.1667,20.1360
2.2000,0.0000
2.2333,0.0000
2.2667,0.0000
2.3000,0.0000
2.3333,0.0000
2.3667,0.0000
2.4000,0.0000
2.4333,0.0000
2.4667,0.0000
2.5000,0.0000
2.5333,0.0000
2.5667,0.0000
2.6000,0.0000
2.6333,0.0000
2.6667,0.0000
2.7000,0.0000
2.7333,0.0001
2.7667,0.0000
2.8000,0.0000
2.8333,0.0000
2.8667,0.0000
2.9000,0.0000
2.9333,0.0000
2.9667,0.0000
3.0000,0.0000
3.0333,0.0000
3.0667,0.0000
3.1000,0.0000
3.1333,0.0000
3.1667,24.5072
3.2000,50.1778
3.2333,54.0673
3.2667,53.7979
3.3000,53.6902
3.3333,52.2716
3.3667,51.7807
3.4000,51.3716
3.4333,49.8619
3.4667,49.7495
3.5000,49.6512
3.5333,48.1493
3.5667,47.9465
3.6000,47.6580
3.6333,46.2688
3.6667,46.0767
3.7000,45.8684
3.7333,44.4916
3.7667,44.3855
3.8000,44.5064
3.8333,44.2130
3.8667,44.0748
3.9000,44.0480
3.9333,44.0071
3.9667,44.0709
4.0000,44.1524
4.0333,44.0844
4.0667,44.0747
4.1000,44.1066
4.1333,44.0890
4.1667,44.1154
4.2000,44.0961
4.2333,44.1237
4.2667,44.0475
4.3000,43.8803
4.3333,43.7554
4.3667,43.7592
4.4000,43.6531
4.4333,43.7377
4.4667,43.7475
4.5000,43.7713
4.5333,43.6517
4.5667,43.6123
4.6000,43.4963
4.6333,43.5349
4.6667,43.3899
4.7000,43.3788
4.7333,43.2760
4.7667,43.7531
4.8000,43.8523
4.8333,43.8719
4.8667,43.9609
4.9000,43.8762
4.9333,43.8929
4.9667,43.8674
5.0000,43.9641
5.0333,43.8081
5.0667,43.8097
5.1000,43.9108
5.1333,43.9063
5.1667,11.6676
5.2000,0.0000
5.2333,0.0000
5.2667,0.0000
5.3000,0.0000
5.3333,0.0000
